row_number,mth,Dint,age,female,male,Dtol,div,Dkli,Dmco,Dmco1,Dmco2,Dmco3,cov,TI,QI,MCI,GIS
73,2020-01,0,90,11,30,0,12,0,0,0,0,0,1,,,,
74,2020-01,0,91,7,24,0,13,0,0,0,0,0,1,,,,
75,2020-01,0,92,10,16,0,13,0,0,0,0,0,1,,,,
76,2020-01,0,93,7,1,0,11,0,0,0,0,0,1,,,,
77,2020-01,0,94,2,6,0,10,0,0,0,0,0,1,,,,
78,2020-01,0,95,3,3,0,9,0,0,0,0,0,1,,,,
79,2020-01,0,96,6,1,0,8,0,0,0,0,0,1,,,,
80,2020-01,0,97,0,4,0,5,0,0,0,0,0,1,,,,
81,2020-01,0,98,1,1,0,7,0,0,0,0,0,1,,,,
82,2020-01,0,100,1,0,0,2,0,0,0,0,0,1,,,,
83,2020-01,0,102,1,0,0,1,0,0,0,0,0,1,,,,
84,2020-02,0,18,2,1,0,5,1,0,0,0,0,1,,,,
85,2020-02,0,19,45,115,1,14,1,0,0,0,0,1,,,,
86,2020-02,0,20,92,236,1,14,1,0,0,0,0,1,,,,
87,2020-02,0,21,102,393,1,14,1,0,0,0,0,1,,,,
88,2020-02,0,22,158,477,1,14,1,0,0,0,0,1,,,,
89,2020-02,0,23,242,920,0,16,1,0,0,0,0,1,,,,
90,2020-02,0,24,379,"1,127",0,16,1,0,0,0,0,1,,,,
91,2020-02,0,25,486,"1,494",0,16,1,0,0,0,0,1,,,,
92,2020-02,0,26,660,"1,953",0,16,1,0,0,0,0,1,,,,
93,2020-02,0,27,719,"2,268",0,17,1,0,0,0,0,1,,,,
94,2020-02,0,28,834,"2,319",0,16,1,0,0,0,0,1,,,,
95,2020-02,0,29,929,"2,427",0,17,1,0,0,0,0,1,,,,
96,2020-02,1,30,997,"2,575",0,17,1,0,0,0,0,1,,,,
97,2020-02,1,31,977,"2,443",0,17,1,0,0,0,0,1,,,,
98,2020-02,1,32,"1,271","3,035",0,16,1,0,0,0,0,1,,,,
99,2020-02,1,33,"1,100","2,499",0,15,1,0,0,0,0,1,,,,
100,2020-02,1,34,"1,120","2,500",0,16,1,0,0,0,0,1,,,,
101,2020-02,1,35,"1,252","2,814",0,17,1,0,0,0,0,1,,,,
102,2020-02,1,36,"1,213","2,655",0,18,1,0,0,0,0,1,,,,
103,2020-02,1,37,"1,306","2,475",0,17,1,0,0,0,0,1,,,,
104,2020-02,1,38,"1,279","2,638",0,16,1,0,0,0,0,1,,,,
105,2020-02,1,39,"1,317","2,530",0,15,1,0,0,0,0,1,,,,
106,2020-02,1,40,"1,249","2,489",0,17,1,0,0,0,0,1,,,,
107,2020-02,1,41,"1,312","2,438",0,17,1,0,0,0,0,1,,,,
108,2020-02,1,42,"1,320","2,288",0,17,1,0,0,0,0,1,,,,
109,2020-02,1,43,"1,255","2,205",0,16,1,0,0,0,0,1,,,,
110,2020-02,1,44,"1,453","2,387",0,19,1,0,0,0,0,1,,,,
111,2020-02,1,45,"1,338","2,295",0,19,1,0,0,0,0,1,,,,
112,2020-02,1,46,"1,370","2,337",0,17,1,0,0,0,0,1,,,,
113,2020-02,1,47,"1,393","2,272",0,18,1,0,0,0,0,1,,,,
114,2020-02,1,48,"1,372","2,237",1,20,1,0,0,0,0,1,,,,
115,2020-02,1,49,"1,403","2,241",0,17,1,0,0,0,0,1,,,,
116,2020-02,1,50,"1,263","2,134",0,18,1,0,0,0,0,1,,,,
117,2020-02,1,51,"1,229","2,065",0,17,1,0,0,0,0,1,,,,
118,2020-02,1,52,"1,202","1,962",0,16,1,0,0,0,0,1,,,,
119,2020-02,1,53,"1,246","1,996",0,16,1,0,0,0,0,1,,,,
120,2020-02,1,54,"1,174","1,929",0,16,1,0,0,0,0,1,,,,
121,2020-02,1,55,"1,164","1,874",0,17,1,0,0,0,0,1,,,,
122,2020-02,1,56,"1,179","2,015",0,17,1,0,0,0,0,1,,,,
123,2020-02,1,57,"1,183","2,148",0,15,1,0,0,0,0,1,,,,
124,2020-02,1,58,"1,173","1,966",0,15,1,0,0,0,0,1,,,,
125,2020-02,1,59,"1,196","1,898",0,16,1,0,0,0,0,1,,,,
126,2020-02,1,60,"1,116","1,861",0,15,1,0,0,0,0,1,,,,
127,2020-02,1,61,"1,047","1,848",0,17,1,0,0,0,0,1,,,,
128,2020-02,0,62,"1,041","1,782",0,17,1,0,0,0,0,1,,,,
129,2020-02,0,63,974,"1,691",0,16,1,0,0,0,0,1,,,,
130,2020-02,0,64,938,"1,681",0,15,1,0,0,0,0,1,,,,
131,2020-02,0,65,829,"1,567",0,16,1,0,0,0,0,1,,,,
132,2020-02,0,66,792,"1,434",0,15,1,0,0,0,0,1,,,,
133,2020-02,0,67,791,"1,382",0,14,1,0,0,0,0,1,,,,
134,2020-02,0,68,717,"1,294",0,16,1,0,0,0,0,1,,,,
135,2020-02,0,69,611,"1,104",1,14,1,0,0,0,0,1,,,,
136,2020-02,0,70,544,"1,105",0,15,1,0,0,0,0,1,,,,
137,2020-02,0,71,528,"1,012",0,15,1,0,0,0,0,1,,,,
138,2020-02,0,72,468,993,0,15,1,0,0,0,0,1,,,,
139,2020-02,0,73,455,963,0,15,1,0,0,0,0,1,,,,
140,2020-02,0,74,448,751,0,15,1,0,0,0,0,1,,,,
141,2020-02,0,75,232,496,0,14,1,0,0,0,0,1,,,,
142,2020-02,0,76,286,499,0,14,1,0,0,0,0,1,,,,
143,2020-02,0,77,233,551,0,14,1,0,0,0,0,1,,,,
144,2020-02,0,78,227,422,0,15,1,0,0,0,0,1,,,,
145,2020-02,0,79,198,445,0,14,1,0,0,0,0,1,,,,
146,2020-02,0,80,166,356,0,14,1,0,0,0,0,1,,,,
